School,G,Overall W-L%,Overall SRS,Overall SOS,Conf. W-L%,Home W-L%,Away W-L%,AVG PPG,AVG DPPG,AVG PD,AST/TOV,PF/G,Year
Gonzaga,35,0.714,13.86,4.01,0.786,0.875,0.6,76.686,65.914,10.771,1.143,18.54,2011
Grambling,33,0.364,-18.45,-10.45,0.444,0.4,0.278,60.545,68.545,-8,0.668,20.91,2011
Green Bay,32,0.438,-0.21,2.18,0.444,0.714,0.25,67.313,68.406,-1.094,0.895,20.31,2011
Hampton,33,0.727,-5.2,-8.77,0.688,0.727,0.615,66.576,62.727,3.848,0.939,18.3,2011
Hartford,31,0.355,-10.04,-5.55,0.438,0.583,0.188,59.903,64.387,-4.484,0.946,18.48,2011
Harvard,30,0.767,4.88,-1.19,0.8,1,0.6,71.467,64.433,7.033,1.078,15.53,2011
Hawaii,32,0.594,0.51,-0.87,0.5,0.75,0.4,69.25,67.219,2.031,0.765,19.44,2011
High Point,31,0.387,-12.82,-4.47,0.389,0.643,0.188,66.129,72.581,-6.452,0.729,21.58,2011
Hofstra,33,0.636,-0.03,0.13,0.778,0.769,0.667,70.758,69.697,1.061,1.295,18.03,2011
Holy Cross,29,0.276,-6.38,-4.55,0.5,0.308,0.25,67.207,69.034,-1.828,0.995,18.28,2011
Houston,30,0.4,-2.71,0.55,0.25,0.625,0.154,68.7,69.733,-1.033,0.886,20.17,2011
Houston Christian,31,0.161,-18.41,-8.72,0.167,0.333,0,69.032,78.355,-9.323,0.706,21.97,2011
Howard,30,0.2,-18.8,-7.3,0.25,0.4,0,58.433,69.933,-11.5,0.586,19.23,2011
Idaho,32,0.563,0.2,-0.64,0.563,0.667,0.5,67.875,66.688,1.188,0.968,16.78,2011
Idaho St.,29,0.31,-10.76,-1.87,0.25,0.583,0.067,64.759,72.276,-7.517,0.723,18.79,2011
Illinois,34,0.588,16.72,11.11,0.5,0.875,0.3,70.971,65.353,5.618,1.309,17.56,2011
Illinois St.,31,0.387,-3.37,-0.66,0.222,0.556,0.167,61.065,63.774,-2.71,0.836,18.32,2011
Illinois-Chicago,31,0.226,-6.32,1.98,0.111,0.286,0.067,62.677,69.419,-6.742,0.726,17.87,2011
Indiana,32,0.375,9.03,7.65,0.167,0.667,0,69.563,68.188,1.375,0.947,21.41,2011
Indiana St.,34,0.588,3.41,2.9,0.667,0.769,0.429,66.265,64.471,1.794,0.904,20.12,2011
Iona,37,0.676,7.01,-2.26,0.722,0.8,0.647,78.973,69.703,9.27,1.378,17.97,2011
Iowa,31,0.355,7.95,8.79,0.222,0.5,0.182,67.226,68.065,-0.839,0.946,16.48,2011
Iowa St.,32,0.5,8.86,4.55,0.188,0.684,0.182,74.844,70.531,4.313,1.197,16.38,2011
IUPUI,33,0.576,0.39,-0.84,0.667,0.818,0.438,71.636,69.152,2.485,0.976,15.18,2011
Jackson St.,32,0.531,-10.43,-10.86,0.667,0.75,0.389,65.5,62.781,2.719,0.886,20.88,2011
Jacksonville,32,0.625,-1.42,-3.68,0.65,0.846,0.5,68,65.438,2.563,0.806,21.38,2011
Jacksonville St.,30,0.167,-11.16,-5.41,0.167,0.182,0.118,60.933,65.8,-4.867,0.852,19.93,2011
James Madison,33,0.636,2.94,-0.03,0.556,0.733,0.588,71.364,68.394,2.97,1.081,17.91,2011
Kansas,38,0.921,24.1,7.62,0.875,0.941,0.9,81.158,64.684,16.474,1.329,17.53,2011
Kansas City,30,0.533,-8.91,-4.46,0.5,0.733,0.357,70,73.9,-3.9,0.766,19.67,2011
Kansas St.,34,0.676,14.59,8.41,0.625,0.941,0.5,72.853,66.147,6.706,0.952,20.35,2011
Kennesaw St.,31,0.258,-14.06,-3.29,0.3,0.429,0.125,65.065,74.839,-9.774,0.783,17.16,2011
Kent St.,37,0.676,3.65,0.04,0.75,0.875,0.438,70.973,66.838,4.135,1.078,17.35,2011
Kentucky,38,0.763,20.3,8.91,0.625,1,0.3,74.868,63.474,11.395,1.187,15.82,2011
La Salle,33,0.455,-0.08,1.7,0.375,0.474,0.5,76.848,78.636,-1.788,0.967,18.67,2011
Lafayette,32,0.406,-7.26,-4.19,0.429,0.571,0.278,69.906,72.188,-2.281,1.107,20.25,2011
Lamar,30,0.433,-6.69,-5.96,0.438,0.615,0.267,82.1,75.967,6.133,0.954,23.07,2011
Lehigh,31,0.516,-4.07,-5.69,0.429,0.643,0.412,73.613,72,1.613,0.925,19.13,2011
Liberty,32,0.594,-5.62,-4.86,0.722,0.75,0.357,67.656,65.625,2.031,0.827,19.22,2011
Lipscomb,30,0.567,-0.96,-2.65,0.6,0.833,0.412,76.233,73.767,2.467,0.994,20.37,2011
Little Rock,36,0.528,-4.32,-2.97,0.438,0.667,0.231,68.25,67.389,0.861,1.012,20.56,2011
Long Beach St.,34,0.647,3.78,1.69,0.875,0.846,0.5,73.206,70.529,2.676,0.928,16.18,2011
LIU Brooklyn,33,0.818,2.23,-5.77,0.889,0.875,0.813,82.727,74.727,8,0.996,17.58,2011
Longwood,31,0.387,-16.02,-3.62,NA,0.714,0.067,76.258,82.323,-6.065,1.192,19.26,2011
Louisiana Lafayette,29,0.483,-5.45,-4.19,0.688,0.714,0.286,70.862,71.276,-0.414,0.66,21.31,2011
LSU,32,0.344,-2.09,2.26,0.188,0.444,0.273,62.219,66.563,-4.344,0.79,19.44,2011
Louisiana Tech,32,0.375,-5.99,-0.99,0.125,0.571,0.125,64.094,67.938,-3.844,0.619,20.38,2011
Louisiana-Monroe,31,0.226,-14.27,-3.96,0.125,0.308,0.133,59.968,68.581,-8.613,0.705,18.97,2011
Louisville,35,0.714,18.6,8.2,0.667,0.905,0.4,74.943,64.543,10.4,1.325,19.17,2011
Loyola Chicago,31,0.516,1.73,-1.1,0.389,0.529,0.5,69.452,66.613,2.839,0.967,17.45,2011
Loyola MD,30,0.5,-3.28,-3.68,0.556,0.571,0.467,67.433,67.033,0.4,0.902,19.4,2011
Loyola Marymount,32,0.344,-2.79,0.27,0.143,0.5,0.143,70.781,72.25,-1.469,0.958,18.94,2011
Maine,30,0.5,-4.87,-5.84,0.563,0.5,0.533,69.633,67,2.633,1.023,17.73,2011
Manhattan,31,0.194,-11.66,-2.01,0.167,0.231,0.214,60.065,69.71,-9.645,0.716,16.81,2011
Marist,33,0.182,-13.7,-1.46,0.167,0.286,0.063,59.97,72.212,-12.242,0.659,19.91,2011
Marquette,37,0.595,14.89,8.51,0.5,0.778,0.364,75.189,68.811,6.378,1.262,16.81,2011
Marshall,34,0.647,6.32,1.94,0.563,0.778,0.462,73.5,67.382,6.118,0.971,19.74,2011
Maryland,33,0.576,15,5.76,0.438,0.778,0.4,76.848,67.606,9.242,1.238,16.64,2011
UMBC,30,0.167,-18.47,-4.27,0.25,0.231,0.125,64.267,78.467,-14.2,0.876,19.77,2011
Maryland-Eastern Shore,31,0.29,-19.35,-7.42,0.313,0.583,0.059,67.613,77.677,-10.065,0.849,21.52,2011
Massachusetts,30,0.5,-0.76,1.93,0.438,0.5,0.4,66.267,67.967,-1.7,0.818,20.97,2011
McNeese St.,33,0.636,-4.7,-4.39,0.688,0.875,0.308,74.121,71.333,2.788,0.918,19.48,2011
Memphis,35,0.714,6.91,3.14,0.625,0.895,0.333,72.114,68.343,3.771,0.957,20.34,2011
Mercer,33,0.455,-4.08,-2.17,0.55,0.6,0.286,67.273,68.424,-1.152,0.842,20.97,2011
Miami FL,36,0.583,10.47,6.42,0.375,0.765,0.308,71.639,67.583,4.056,0.835,18.06,2011
Miami (OH),33,0.485,-1.58,3.04,0.688,0.75,0.25,66.364,70.273,-3.909,0.8,16.94,2011
Michigan,35,0.6,14.21,10.68,0.5,0.737,0.5,66.514,62.486,4.029,1.368,16.77,2011
Michigan St.,34,0.559,13.7,11.67,0.5,0.8,0.273,68.765,66.559,2.206,1.121,19.06,2011
Middle Tennessee,32,0.5,-2.74,-4.45,0.625,0.714,0.286,69.313,66.281,3.031,0.699,23.63,2011
Milwaukee,33,0.576,1.48,2.51,0.722,0.667,0.5,68.667,69.697,-1.03,0.919,17.64,2011
Minnesota,31,0.548,11.75,9.79,0.333,0.647,0.3,68.935,66.968,1.968,1.179,16.26,2011
Mississippi,34,0.588,8.71,3.92,0.438,0.765,0.333,73.912,69.118,4.794,0.954,18.76,2011
Mississippi St.,31,0.548,3.38,3.77,0.563,0.706,0.444,69.839,70.226,-0.387,0.952,15.19,2011
Mississippi Valley St.,32,0.406,-13.95,-7.48,0.667,0.778,0.263,68.313,74.781,-6.469,0.708,22.78,2011
Missouri,34,0.676,14.77,6.5,0.5,0.944,0.222,80.824,71.618,9.206,1.295,20.26,2011
Missouri St.,35,0.743,8.07,1.35,0.833,0.941,0.5,69.829,63.114,6.714,1.282,17.34,2011
Monmouth,30,0.3,-9.67,-4.4,0.278,0.333,0.154,60.6,65.867,-5.267,0.856,17.33,2011
Montana,32,0.656,2.17,-2.47,0.75,0.867,0.438,67.219,60.938,6.281,1.047,17.28,2011
Montana St.,31,0.419,-7.01,-3.22,0.438,0.692,0.125,67.065,68.71,-1.645,1.003,18.65,2011
Morehead St.,35,0.714,2.81,-3.13,0.722,0.933,0.5,68.914,61.771,7.143,0.808,18.66,2011
Morgan St.,31,0.548,-8.04,-7.72,0.625,0.833,0.286,66.484,66.806,-0.323,0.791,20.16,2011
Mount St. Mary's,32,0.344,-9.22,-3.47,0.5,0.615,0.158,60.625,66.375,-5.75,0.794,19.25,2011
Murray St.,32,0.719,0.45,-4.85,0.778,0.867,0.692,68.563,61.844,6.719,0.967,18.63,2011
Navy,31,0.355,-10.66,-5.56,0.429,0.462,0.267,68.161,72.71,-4.548,0.816,20.9,2011
North Carolina St.,31,0.484,7.02,6.8,0.313,0.688,0.1,70.677,70.452,0.226,1.176,17.19,2011
Nebraska,32,0.594,10.54,4.67,0.438,0.895,0.111,66.375,60.5,5.875,0.963,17.19,2011
Nevada,32,0.406,0.34,1.88,0.5,0.643,0.231,70.156,71.219,-1.063,0.776,20.41,2011
UNLV,33,0.727,14.67,6,0.688,0.733,0.727,71.606,62.939,8.667,1.229,19.24,2011
New Hampshire,30,0.4,-10.07,-6.32,0.375,0.583,0.25,58.3,60.867,-2.567,0.811,18.2,2011
New Mexico,35,0.629,11.72,4.9,0.5,0.824,0.429,73.2,65.943,7.257,1.136,19.17,2011
New Mexico St.,33,0.485,2.11,2.66,0.563,0.706,0.25,71.636,70.182,1.455,0.842,18.55,2011
Niagara,32,0.281,-11.89,-3.02,0.278,0.462,0.125,61.438,70.313,-8.875,0.746,19.25,2011
Nicholls St.,28,0.5,-5.72,-4.52,0.5,0.846,0.214,65.571,61.786,3.786,1.103,19.43,2011
NJIT,30,0.5,-13.18,-9.64,0.75,0.667,0.357,68.833,68.4,0.433,0.956,21.07,2011
Norfolk St.,32,0.375,-12.2,-7.45,0.5,0.636,0.176,69.938,74.688,-4.75,0.8,21.69,2011
North Carolina,37,0.784,18.87,10.15,0.875,1,0.7,77.514,68.784,8.73,1.162,16.14,2011
North Carolina A&T,32,0.469,-12.06,-6.26,0.563,0.846,0.222,71.313,74.125,-2.813,0.807,16.59,2011
North Carolina Central,30,0.5,-13.03,-8.03,NA,0.692,0.375,68.733,70.1,-1.367,0.758,20.8,2011
North Dakota,34,0.559,-11.83,-8.7,0.667,0.786,0.267,68.206,68.441,-0.235,0.875,19.74,2011
North Dakota St.,29,0.483,-1.54,-3.5,0.444,0.769,0.154,75.448,71.103,4.345,1.039,19.52,2011
North Florida,34,0.441,-6.25,0.31,0.5,0.364,0.389,64.941,71.5,-6.559,0.71,20.5,2011
North Texas,33,0.667,-1.49,-5.07,0.5,0.875,0.385,76.242,71.455,4.788,0.927,18.12,2011
Northeastern,31,0.355,-2.67,1.17,0.333,0.545,0.231,66.581,70.419,-3.839,1.098,19.19,2011
Northern Arizona,32,0.594,0.62,-3.72,0.563,0.929,0.333,71.844,64.938,6.906,1.309,19.03,2011
Northern Colorado,32,0.656,1.39,-2.24,0.813,1,0.4,71.469,65.781,5.688,0.817,19.03,2011
Northern Illinois,30,0.3,-8.05,-2.26,0.313,0.429,0.188,68.5,73.3,-4.8,0.843,20.2,2011
Northern Iowa,34,0.588,4.53,2.04,0.556,0.722,0.385,63.735,60.176,3.559,1.143,17.15,2011
Northwestern,34,0.588,11.66,7.54,0.389,0.765,0.357,71.794,67.676,4.118,1.696,17.18,2011
Northwestern St.,32,0.563,-8.88,-7.02,0.625,0.813,0.333,76.938,77.563,-0.625,0.786,22.97,2011
Notre Dame,34,0.794,18.17,8.43,0.778,1,0.556,75.235,65.5,9.735,1.547,15.21,2011
Oakland,35,0.714,8.28,0.1,0.944,0.909,0.588,85.486,76.857,8.629,1.201,18.4,2011
Ohio,35,0.543,0.59,-1.01,0.563,0.579,0.538,74.4,72.8,1.6,1.132,20.74,2011
Ohio St.,37,0.919,25.84,8.38,0.889,1,0.818,77.135,59.676,17.459,1.565,14.03,2011
Oklahoma,32,0.438,3.71,6.42,0.313,0.75,0.091,65.969,68.719,-2.75,0.922,18.28,2011
Oklahoma St.,34,0.588,8.53,6.94,0.375,0.875,0.091,68.176,66.588,1.588,0.741,20.79,2011
Old Dominion,34,0.794,9.03,1.76,0.778,0.875,0.636,65.618,58.353,7.265,1.144,14.79,2011
Oral Roberts,35,0.543,0.86,-1.17,0.722,0.75,0.412,74.714,72.686,2.029,0.987,20.34,2011
Oregon,39,0.538,6.92,6.92,0.389,0.667,0.273,70.179,69.333,0.846,1.143,18.23,2011
Oregon St.,31,0.355,1.51,5.03,0.278,0.563,0.077,69.258,72.774,-3.516,0.792,18.55,2011
Pacific,31,0.516,0.75,-0.88,0.5,0.615,0.4,65.742,62.742,3,1.225,14.84,2011
Penn St.,34,0.559,11.98,11.45,0.5,0.722,0.273,63.059,62.529,0.529,1.154,15.59,2011
Penn,28,0.464,-2.99,-1.64,0.5,0.583,0.333,66.714,68.071,-1.357,0.974,18.07,2011
Pepperdine,33,0.364,-3.91,1.43,0.357,0.5,0.133,69.364,74,-4.636,0.945,19,2011
Pittsburgh,34,0.824,20.82,7.85,0.833,0.944,0.778,73.941,60.971,12.971,1.499,17.94,2011
Portland,32,0.625,4.7,2.2,0.5,0.867,0.5,71,68.5,2.5,1.082,17.5,2011
Portland St.,30,0.467,-7.74,-4.47,0.313,0.667,0.154,72.3,74.333,-2.033,1.043,16.87,2011
Prairie View,32,0.313,-19.63,-8.77,0.389,0.727,0.059,62.844,70.063,-7.219,0.767,20,2011
Presbyterian,31,0.419,-7.72,-2.85,0.389,0.545,0.333,61.774,66.645,-4.871,0.857,14.65,2011
Princeton,32,0.781,3.71,-1.61,0.867,1,0.667,69.219,63.031,6.188,1.098,17.22,2011
Providence,32,0.469,6.91,6.44,0.222,0.737,0,75.813,75.344,0.469,0.98,16.97,2011
Purdue,34,0.765,19.36,8.69,0.778,1,0.583,72.529,61.853,10.676,1.52,17.79,2011
Purdue-Fort Wayne,30,0.6,-2.17,-5.17,0.611,0.786,0.467,74.333,70.1,4.233,1.195,21.53,2011
Quinnipiac,32,0.688,-2.08,-6.39,0.722,0.667,0.692,71.719,67.406,4.313,1.245,20.78,2011
Radford,29,0.172,-16.76,-2.52,0.111,0.385,0,59.793,71.207,-11.414,0.619,19.34,2011
Rhode Island,34,0.588,3.34,1.9,0.563,0.75,0.429,68.118,66.676,1.441,0.998,17.82,2011
Rice,32,0.438,1.67,2.67,0.313,0.563,0.273,67.125,67.156,-0.031,1.046,18.84,2011
Richmond,37,0.784,11.23,2.79,0.813,0.8,0.769,69.649,61.216,8.432,1.431,15.86,2011
Rider,34,0.676,1.62,-2.67,0.722,0.643,0.688,73.118,68.824,4.294,1.026,17.59,2011
Robert Morris,32,0.563,-0.8,-2.61,0.667,0.846,0.368,67.281,65.469,1.813,1.033,22.44,2011
Rutgers,32,0.469,7.88,7.22,0.278,0.625,0.231,66.313,65.656,0.656,1.116,19.81,2011
Sacramento St.,28,0.25,-14.01,-4.05,0.25,0.462,0.071,61.75,69.571,-7.821,0.833,18.21,2011
Sacred Heart,29,0.379,-9.4,-6.12,0.333,0.417,0.375,66.276,69.552,-3.276,0.766,19.79,2011
Saint Francis (PA),30,0.3,-11.5,-3.84,0.389,0.583,0.111,65.233,72.9,-7.667,0.868,21.5,2011
Saint Joseph's,33,0.333,-1.75,3.46,0.25,0.357,0.25,64.515,69.727,-5.212,1.135,16.09,2011
Saint Louis,31,0.387,2.83,3.06,0.375,0.563,0.091,63,62.355,0.645,1.017,19,2011
Saint Mary's,34,0.735,13.04,1.95,0.786,0.833,0.6,78.941,66.265,12.676,1.472,17.59,2011
Saint Peter's,34,0.588,-0.28,-1.08,0.611,0.727,0.5,60.853,60.059,0.794,0.75,19.47,2011
Sam Houston St.,31,0.581,-2.38,-3.9,0.625,0.643,0.538,69.71,66.097,3.613,1.204,20.45,2011
Samford,31,0.387,-11.39,-4.22,0.222,0.429,0.357,60.645,66.839,-6.194,0.978,16.87,2011
San Diego,30,0.2,-8.6,3.18,0.143,0.357,0,60.867,70.467,-9.6,0.768,19.63,2011
San Diego St.,37,0.919,17.96,6.36,0.875,0.933,0.917,71.892,59.243,12.649,1.241,14.65,2011
San Francisco,34,0.559,1.78,3.06,0.714,0.765,0.385,70.118,70.618,-0.5,0.872,19.5,2011
San Jose St.,33,0.515,-1.54,-0.08,0.313,0.6,0.4,72.455,72.879,-0.424,1.118,19.06,2011
Santa Clara,38,0.632,3.06,1.25,0.571,0.75,0.571,73.947,70.789,3.158,0.915,20.71,2011
Savannah St.,30,0.4,-9.06,-2.44,NA,0.6,0.222,60.6,60.267,0.333,0.705,19.07,2011
Seattle,31,0.355,-9.26,-2.36,NA,0.5,0.235,68.968,75.871,-6.903,0.662,21.87,2011
Seton Hall,31,0.419,11.03,9.33,0.389,0.533,0.364,67.484,65.774,1.71,1.108,18.97,2011
Siena,31,0.419,-3.83,-1.71,0.444,0.533,0.286,67.839,69.968,-2.129,0.851,16.65,2011
South Alabama,28,0.429,-9.8,-4.34,0.375,0.571,0.308,70.321,72.893,-2.571,0.861,18.07,2011
South Carolina,30,0.467,4.17,5.6,0.313,0.647,0.25,67.567,69,-1.433,0.813,18.73,2011
South Carolina St.,32,0.313,-16.71,-8.57,0.313,0.571,0.071,66.219,71.125,-4.906,0.718,20.47,2011
South Carolina UpSt.,30,0.167,-12.44,-0.94,0.2,0.273,0.125,58.2,69.7,-11.5,0.775,18.47,2011
South Dakota,33,0.545,-9.72,-10.48,0.583,0.867,0.214,79.758,75.97,3.788,1.168,17.48,2011
South Dakota St.,31,0.613,3.1,-4.04,0.556,0.667,0.571,81.71,73.71,8,1.529,18.29,2011
South Florida,33,0.303,4.28,8.89,0.167,0.438,0.077,61.939,66.545,-4.606,0.821,19.15,2011
Southeast Missouri St.,32,0.313,-12.27,-5.4,0.333,0.385,0.235,66.156,71.281,-5.125,0.84,21.16,2011
Southeastern Louisiana,29,0.517,-8.93,-5.4,0.563,0.818,0.333,70.034,69.069,0.966,1.067,19.66,2011
Southern,30,0.133,-25.62,-9.47,0.167,0.214,0.071,56.7,72.067,-15.367,0.703,16.9,2011
USC,34,0.559,11.52,7.97,0.556,0.75,0.385,66.235,62.676,3.559,1.031,17.32,2011
Southern Illinois,32,0.406,-2.46,1.48,0.278,0.5,0.25,61.031,64.969,-3.938,0.8,19.81,2011
SIU Edwardsville,29,0.276,-22.39,-3.67,NA,0.429,0,64.793,77.517,-12.724,0.789,20.31,2011
SMU,35,0.571,1.04,-0.39,0.5,0.682,0.417,64.629,61.343,3.286,0.996,16.34,2011
Southern Miss,32,0.688,8.41,1.9,0.563,0.867,0.5,74.094,65.406,8.688,1.003,19.19,2011
Southern Utah,30,0.367,-7.8,-3.44,0.389,0.429,0.333,69.233,73.067,-3.833,0.883,21.7,2011
St. Bonaventure,31,0.516,1.31,1.73,0.5,0.667,0.4,69.548,69.968,-0.419,0.867,18.13,2011
St. Francis (NY),30,0.5,-5.45,-5.85,0.556,0.769,0.333,66.733,66.333,0.4,0.875,21.37,2011
St. John's,33,0.636,13.1,10.01,0.667,0.813,0.417,70.091,67,3.091,1.022,18.97,2011
Stanford,31,0.484,6.4,5.17,0.389,0.688,0.273,66.387,65.161,1.226,0.865,18.45,2011
Stephen F. Austin,29,0.621,-3.29,-7.73,0.563,0.813,0.417,66.414,56.655,9.759,1.05,17.62,2011
Stetson,31,0.258,-10.73,-2.86,0.3,0.385,0.2,64.065,71.871,-7.806,0.589,21.29,2011
Stony Brook,32,0.469,-6.85,-6.2,0.5,0.5,0.375,60.969,60.438,0.531,0.772,17.75,2011
Syracuse,35,0.771,18.85,8.79,0.667,0.842,0.667,73.371,63.314,10.057,1.307,15.54,2011
TCU,33,0.333,0.96,3.93,0.063,0.5,0.083,67.273,70.242,-2.97,1.134,19.21,2011
Temple,34,0.765,12.35,4.23,0.875,1,0.636,70.588,62.471,8.118,1.389,15.82,2011
Tennessee,34,0.559,11.08,8.73,0.5,0.556,0.556,69.882,67.529,2.353,0.976,19.47,2011
Tennessee St.,30,0.467,-7.12,-4.73,0.556,0.846,0.188,68.133,68,0.133,0.827,18.63,2011
Tennessee Tech,33,0.606,-5.64,-5.77,0.667,0.667,0.5,74.606,69.909,4.697,0.86,20.18,2011
Tennessee-Martin,33,0.364,-12.77,-5,0.333,0.5,0.235,68.606,74.364,-5.758,0.718,20.39,2011
Texas,36,0.778,20.82,7.96,0.813,0.889,0.7,75.028,62.167,12.861,1.141,17.11,2011
Texas A&M,33,0.727,12.62,5.94,0.625,0.882,0.556,68.303,60.879,7.424,1.042,18.24,2011
Texas A&M-Corpus Christi,31,0.323,-12.31,-2.09,0.313,0.462,0.143,62.677,70.774,-8.097,0.648,17.9,2011
Texas Southern,32,0.594,-10.14,-9.02,0.889,0.9,0.421,64.25,65.375,-1.125,0.744,18.69,2011
Texas St.,32,0.5,-7.65,-5.89,0.625,0.786,0.25,78.313,78.438,-0.125,0.9,21.84,2011
Texas Tech,32,0.406,4.02,6.18,0.313,0.611,0.182,73.188,75.344,-2.156,0.964,20,2011
Texas-Rio Grande Valley,31,0.194,-16.55,-6.41,0.167,0.357,0,68.194,76.032,-7.839,0.8,20.68,2011
The Citadel,32,0.313,-9.84,-2.84,0.333,0.429,0.2,64.031,69.906,-5.875,0.99,16.53,2011
Toledo,32,0.125,-14.75,-0.88,0.063,0.25,0,57.906,70.219,-12.313,0.77,16.81,2011
Towson,30,0.133,-8.06,-0.52,0,0.143,0.133,68.433,75.967,-7.533,0.947,17.23,2011
Troy,29,0.276,-9.48,-2.05,0.375,0.455,0.133,71.586,77.345,-5.759,0.954,17.55,2011
Tulane,30,0.433,-0.28,-0.68,0.188,0.6,0.286,68.567,65.833,2.733,1.098,17.2,2011
Tulsa,32,0.594,6.06,3.25,0.688,0.8,0.364,70.469,67.656,2.813,0.828,19.88,2011
UAB,31,0.71,8.55,2.78,0.75,0.867,0.615,68.355,62.581,5.774,1.085,16.58,2011
UC Davis,30,0.333,-5.69,-1.9,0.25,0.5,0.214,71.2,73.133,-1.933,1.064,19.63,2011
UC Irvine,32,0.406,-3.78,-2.36,0.375,0.6,0.25,75.344,75.594,-0.25,0.947,21.59,2011
UC Riverside,31,0.387,-8.26,-1.4,0.375,0.583,0.267,65.935,69.806,-3.871,0.866,18.74,2011
UC Santa Barbara,32,0.563,1.22,0.12,0.5,0.692,0.385,67.813,65.781,2.031,1.002,19.09,2011
UCLA,34,0.676,11.7,7.93,0.722,0.889,0.5,70.059,66.294,3.765,0.982,17.47,2011
UNC Asheville,34,0.588,-0.69,-2.89,0.611,0.667,0.5,73.706,68.618,5.088,0.972,19.53,2011
UNC Greensboro,31,0.226,-9.95,-0.37,0.333,0.2,0.214,71.097,80.677,-9.581,0.743,21.29,2011
UNC Wilmington,31,0.419,-3.41,-0.44,0.389,0.6,0.214,63.71,66.677,-2.968,0.825,15.87,2011
UT Arlington,29,0.448,-7.59,-5.47,0.438,0.692,0.25,70.862,68.724,2.138,0.71,21.52,2011
Utah,31,0.419,2.46,6.56,0.375,0.6,0.308,67.032,70.226,-3.194,0.701,19.29,2011
Utah St.,34,0.882,13.23,0.5,0.938,1,0.786,72.029,58.676,13.353,1.244,17.38,2011
Utah Valley,30,0.633,-7.78,-9.97,0.917,0.813,0.429,75.867,68.467,7.4,1.005,18.93,2011
UTEP,35,0.714,8.83,2.47,0.688,0.895,0.455,70.571,63.571,7,1.228,18.6,2011
UTSA,34,0.588,-5.8,-4.93,0.563,0.786,0.333,70.118,69.5,0.618,0.933,19.32,2011
Valparaiso,35,0.657,4.24,1.69,0.667,0.765,0.429,73.257,67.971,5.286,1.15,19.23,2011
Vanderbilt,34,0.676,15.1,6.86,0.563,0.824,0.5,75.912,67.676,8.235,1.029,16.24,2011
Vermont,32,0.719,0.14,-5.33,0.813,0.857,0.667,67.094,61.625,5.469,0.919,16.47,2011
Villanova,33,0.636,15.05,8.23,0.5,0.765,0.583,72.242,65.424,6.818,1.148,17.52,2011
Virginia,31,0.516,6.01,6.55,0.438,0.647,0.4,61.871,62.419,-0.548,1.044,16.06,2011
VCU,40,0.7,8.56,3.78,0.667,0.786,0.571,71.6,66.825,4.775,1.29,18.38,2011
VMI,31,0.581,-4.23,-5.45,0.556,0.688,0.5,87.935,82.097,5.839,1.124,19.65,2011
Virginia Tech,34,0.647,13.84,6.29,0.563,0.75,0.4,70.294,62.735,7.559,1.014,17.03,2011
Wagner,30,0.433,-6.54,-3.67,0.5,0.615,0.294,67.633,70.5,-2.867,0.911,24.97,2011
Wake Forest,32,0.25,-4.43,5.51,0.063,0.368,0,67.219,77.156,-9.938,0.733,18.56,2011
Washington,35,0.686,20.12,7.74,0.611,0.875,0.455,83.057,70.686,12.371,1.392,20.51,2011
Washington St.,35,0.629,12.27,6.81,0.5,0.778,0.455,72.857,67.4,5.457,1.047,17.49,2011
Weber St.,32,0.563,-1.64,-1.74,0.688,0.846,0.375,70.094,67,3.094,0.983,19.84,2011
West Virginia,33,0.636,16.15,11.03,0.611,0.857,0.4,69.788,64.667,5.121,1.237,18.12,2011
Western Carolina,33,0.545,-3.54,-2.86,0.667,0.917,0.353,69.788,68.939,0.848,0.954,20.7,2011
Western Illinois,30,0.233,-15.14,-4.43,0.111,0.357,0.071,57.3,64.833,-7.533,0.779,19.03,2011
Western Kentucky,32,0.5,-3.8,-3.15,0.5,0.538,0.462,70.063,70.719,-0.656,0.825,18.19,2011
Western Michigan,34,0.618,-0.7,-2.52,0.688,0.667,0.538,71.765,68.265,3.5,0.951,19.38,2011
Wichita St.,37,0.784,12.57,1.79,0.778,0.778,0.818,72.703,61.649,11.054,1.238,18.16,2011
William & Mary,32,0.313,-4.38,0.49,0.222,0.467,0.133,64.094,67.938,-3.844,1.007,16.44,2011
Winthrop,30,0.433,-5.38,-3.2,0.5,0.692,0.286,65.767,66.867,-1.1,0.893,19.07,2011
Wisconsin,34,0.735,18.77,9.42,0.722,1,0.455,67.941,58.588,9.353,1.713,15.35,2011
Wofford,34,0.618,4.35,-1.21,0.778,0.667,0.571,73.588,68.029,5.559,1.205,19.24,2011
Wright St.,33,0.576,3.22,1.45,0.556,0.824,0.385,64.333,61.667,2.667,0.947,18.82,2011
Wyoming,31,0.323,-3.16,3.53,0.188,0.588,0,65.935,69.71,-3.774,0.743,18.29,2011
Xavier,32,0.75,11.88,4.41,0.938,0.933,0.636,72.063,64.594,7.469,1.098,17.22,2011
Yale,28,0.536,-2.91,-2.72,0.571,0.692,0.429,68.143,67.321,0.821,0.934,18.64,2011
Youngstown St.,30,0.3,-6.4,0.93,0.111,0.563,0,69.067,74.2,-5.133,1.265,20.23,2011
Air Force,31,0.323,-4.9,3.13,0.063,0.444,0,57.194,63.129,-5.935,0.987,17.65,2010
